sez,cod_prov,cod_com,cogn,d_nasc,l_nasc,pos,tot_vot_lis,descr_lista,voti
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,AVANTI LECCE,13
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,NOI PER LECCE,12
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,10
11,41,340,SALVEMINI,19660604000000,LECCE,4,194,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,4
11,41,340,SICULELLA,19851203000000,NARDO',3,4,ARIA,3
11,41,340,SICULELLA,19851203000000,NARDO',3,4,MIND MENTI INDIPENDENTI,1
11,41,340,CIUCCI,19650716000000,NAPOLI,1,5,DIRITTI E CIVILTA' PER LECCE,5
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,LECCE CITTA' PUBBLICA,59
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,PARTITO DEMOCRATICO,59
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,AVANTI LECCE,32
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,NOI PER LECCE,25
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,COSCIENZA CIVICA,21
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,19
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,SVEGLIA,16
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,14
12,41,340,SALVEMINI,19660604000000,LECCE,4,255,MOVIMENTO 5 STELLE,10
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,IO SUD,50
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,FRATELLI D'ITALIA,42
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,PRIMA LECCE,40
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,FORZA ITALIA - PPE,29
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,MOVIMENTO REGIONE SALENTO,22
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,LECCE FUTURA PALA,21
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,17
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,TUTTA LECCE LISI,11
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,LEGA SALVINI PUGLIA,6
12,41,340,POLI IN BORTONE,19430825000000,LECCE,2,238,VOCE NAZIONALE,0
12,41,340,CIUCCI,19650716000000,NAPOLI,1,7,DIRITTI E CIVILTA' PER LECCE,7
12,41,340,SICULELLA,19851203000000,NARDO',3,2,MIND MENTI INDIPENDENTI,2
12,41,340,SICULELLA,19851203000000,NARDO',3,2,ARIA,0
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,PARTITO DEMOCRATICO,67
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,LECCE CITTA' PUBBLICA,44
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,COSCIENZA CIVICA,38
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,AVANTI LECCE,38
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,NOI PER LECCE,23
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,SVEGLIA,23
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,RIFORMISTI-ITALIA VIVA-+EUROPA-AZIONE-SIAMO EUROPEI,13
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,MOVIMENTO 5 STELLE,11
13,41,340,SALVEMINI,19660604000000,LECCE,4,267,LECCE CITTA' GIUSTA-ALLEANZA VERDI E SINISTRA-PSI-CIVICHE,10
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,PRIMA LECCE,50
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,IO SUD,42
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,FRATELLI D'ITALIA,41
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,UNIONE DI CENTRO-PUGLIA POPOLARE LECCE,24
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,MOVIMENTO REGIONE SALENTO,18
13,41,340,POLI IN BORTONE,19430825000000,LECCE,2,223,LECCE FUTURA PALA,17
