comune,ref,numero_comuni,comuni_capoluogo,comuni_sup_15000,comuni_inf_15000,comuni_rinnovo_motivi_diversi,comuni_sciolti_rinnovo,popolazione_2021,sezioni_2023,elettori_2023,CODICE ISTAT
CAVALLERLEONE,05_table_01,1.0,,,inf,,,673,1,723,004058
CELLE DI MACRA,05_table_01,1.0,,,inf,,,84,1,74,004060
CENTALLO,05_table_01,1.0,,,inf,,,6875,6,5847,004061
CERESOLE ALBA,05_table_01,1.0,,,inf,,,2006,2,1763,004062
CERRETTO LANGHE,05_table_01,1.0,,,inf,,,402,1,324,004063
CERVASCA,05_table_01,1.0,,,inf,,,5148,5,4386,004064
CERVERE,05_table_01,1.0,,,inf,,,2255,2,1736,004065
CEVA,05_table_01,1.0,,,inf,,,5641,5,4635,004066
CHERASCO,05_table_01,1.0,,,inf,,,9447,10,8058,004067
CHIUSA DI PESIO,05_table_01,1.0,,,inf,,,3548,6,3442,004068
CIGLIE',05_table_01,1.0,,,inf,,,183,1,155,004069
CISSONE,05_table_01,1.0,,,inf,,,80,1,98,004070
CLAVESANA,05_table_01,1.0,,,inf,,,799,1,761,004071
CORNELIANO D'ALBA,05_table_01,1.0,,,inf,,,2142,2,1668,004072
DOGLIANI,05_table_01,1.0,,,inf,,,4553,4,3964,004081
ENVIE,05_table_01,1.0,,,inf,,,1954,2,2304,004085
FARIGLIANO,05_table_01,1.0,,,inf,,,1698,2,1294,004086
FAULE,05_table_01,1.0,,,inf,,,464,1,375,004087
FEISOGLIO,05_table_01,1.0,,,inf,,,295,1,394,004088
FOSSANO,05_table_01,1.0,,SUP,,,,24242,25,20576,004089
FRABOSA SOTTANA,05_table_01,1.0,,,inf,,,1604,2,1359,004091
GAIOLA,05_table_01,1.0,,,inf,,,574,1,470,004093
GAMBASCA,05_table_01,1.0,,,inf,,,347,1,338,004094
GARESSIO,05_table_01,1.0,,,inf,,,2881,4,2692,004095
GENOLA,05_table_01,1.0,,,inf,,,2587,2,1907,004096
GORZEGNO,05_table_01,1.0,,,inf,,,255,1,204,004097
GOTTASECCA,05_table_01,1.0,,,inf,,,130,1,115,004098
GOVONE,05_table_01,1.0,,,inf,,#,2255,3,1815,004099
GUARENE,05_table_01,1.0,,,inf,,,3513,3,2784,004101
IGLIANO,05_table_01,1.0,,,inf,,,67,1,98,004102
ISASCA,05_table_01,1.0,,,inf,,,72,1,61,004103
LA MORRA,05_table_01,1.0,,,inf,,,2675,3,2199,004105
LAGNASCO,05_table_01,1.0,,,inf,,,1395,1,1014,004104
LEQUIO BERRIA,05_table_01,1.0,,,inf,,#,432,1,412,004106
LESEGNO,05_table_01,1.0,,,inf,,,788,2,588,004108
LEVICE,05_table_01,1.0,,,inf,,,204,1,155,004109
LIMONE PIEMONTE,05_table_01,1.0,,,inf,,,1402,2,1305,004110
LISIO,05_table_01,1.0,,,inf,,,191,1,157,004111
MACRA,05_table_01,1.0,,,inf,,,43,1,35,004112
MAGLIANO ALFIERI,05_table_01,1.0,,,inf,,,2173,3,1726,004113
MAGLIANO ALPI,05_table_01,1.0,,,inf,,,2130,2,1705,004114
MANGO,05_table_01,1.0,,,inf,,,1253,2,920,004115
MANTA,05_table_01,1.0,,,inf,,,3765,3,3134,004116
MARENE,05_table_01,1.0,,,inf,,,3269,3,2795,004117
MARGARITA,05_table_01,1.0,,,inf,,,1429,2,1085,004118
MARMORA,06_table_01,1.0,,,inf,,,54,1,61,004119
MARSAGLIA,06_table_01,1.0,,,inf,,,214,1,200,004120
MOIOLA,06_table_01,1.0,,,inf,,,218,1,169,004123
